,Unnamed: 0,username,followers,created_at,tweet_text,tone
0,0,SoManyEarrings,111,2020-03-24 12:25:39,Fox Corp is denying this. Anyone got evidence? #COVID-19 #covid–19 #covid_19 #coronavirus,0.0
2,2,insaafiann,102,2020-03-24 12:25:38,"Handsup.. I'm Giving up..I can't tolerate this anymore. 🤦
#CoronavirusPandemic 
#Coronavirus
 #Hantavirus",2.0
3,3,JasonMBrodsky,3532,2020-03-24 12:25:38,"Secretary of #Iran's SNSC accuses U.S. officials of ""joy"" over #coronavirus outbreak.",2.0
4,4,IamJK99,105,2020-03-24 12:25:38,"""Coronavirus: Deaths in Spain rise sharply to over 2,500"" #Coronavirus",2.0
5,5,SaintTel,730,2020-03-24 12:25:37,"“I saw it sitting on the back shelf and thought, ‘Hey, isn’t that the stuff they’re talking about on TV,’ ” said th…",2.0
8,8,HWShropshire,2091,2020-03-24 12:25:35,"If you are looking for translated information regarding #coronavirus #COVID19 visit 

Plea…",0.0
9,9,markhillary,17785,2020-03-24 12:25:35,#Trump plays golf as people die - this is how history will judge his toxic legacy  #covid19 #coronavirus,2.0
10,10,rahulpandey2604,15,2020-03-24 12:25:34,Please use digital money as much as possible. Stay at home and get telecom and internet services recharged!…,0.0
11,11,SehwagSchool,76705,2020-03-24 12:25:34,It is a very tough time for all of us. #Coronavirus is spreading across the country and the entire world. Our found…,2.0
12,12,112_sos,6360,2020-03-24 12:25:33,.CDCgov has published an Interim Guidance to help #publichealth communicators get their communities ready for…,1.0
13,13,GoodOldMedia,2486,2020-03-24 12:25:33,#TokyoOlympics to be postponed to 2021 due to #coronavirus pandemic,0.0
14,14,ANI,3557403,2020-03-24 12:25:33,"#WATCH Delhi CM Arvind Kejriwal: On the request of Prime Minister we clapped for our doctors, nurses and others who…",1.0
15,15,HalaGorani,204797,2020-03-24 12:25:32,"""People in quarantine have a choice: either receive unexpected visits from the police, or download this app,"" Karol…",0.0
16,16,RKrivoFX,6691,2020-03-24 12:25:32,European stocks and U.S. futures jump amid tentative signs of Italy curbing virus spread,0.0
18,18,LibbyMae14,969,2020-03-24 12:25:31,"In addition, farmers have an increased risk of COPD due to our work environment and chemical exposures. COPD is a h…",2.0
19,19,mkpranesh,250,2020-03-24 12:25:30,"Only we can contain the spread of this #CoronaVirus, let's break the chain!

#StayHomeStaySafe…",0.0
20,20,bringbackjackie,912,2020-03-24 12:25:30,"""I'm reading that #Coronavirus is now hitting B-list celeb......."" followed by 10 seconds of dead air.",2.0
21,21,IllinoisBiotech,1012,2020-03-24 12:25:30,Here is today’s top news from the Illinois Life Sciences Community: iBIO NewsBrief! Here is today’s top news from t…,1.0
24,24,rokeypdx,4385,2020-03-24 12:25:29,"They've postponed the *Summer Freaking Olympics*, but fat man here thinks he can bully the virus by forcing people…",2.0
26,26,TehSeriousJoker,3074,2020-03-24 12:25:27,20 new cases in India. Total cases surpass 500 (519). #covid19 #coronavirus,1.0
27,27,risky_sin,637,2020-03-24 12:25:27,Scene near Kalavidlyala College Mavani - Malad West MumbaiPolice seems they don't understand the seriousness of th…,2.0
28,28,danlatorre,4183,2020-03-24 12:25:27,So good to see U.K. finally getting serious about #coronavirus physical distancing. Stay healthy people.…,1.0
29,29,Josh_BKNY,1211,2020-03-24 12:25:26,"#HantaVirus ??? 
we aint even done with the #CoronaVirus",0.0
30,30,RudeMood7,181,2020-03-24 12:25:26,Excellent (and mathematical and epidemiological correct) statistics on the #coronavirus and how virulent it is.…,1.0
31,31,ashokatluri,1207,2020-03-24 12:25:26,To anyone who says the Chinese Govt shared the genetic sequence on its own. #WuhanVirus #Coronavirus,2.0
32,32,ADP255,376,2020-03-24 12:25:25,"#SriLanka President GotabayaR Govt &amp; team must take a bow 

Their strategy is working, they are containing the…",0.0
33,33,jerrylanson,833,2020-03-24 12:25:25,"How #coronavirus spread rapidly and how it can be slowed. If all Americans sheltered for two weeks (they won't), nu…",2.0
34,34,proxcee,42212,2020-03-24 12:25:23,Please help me understand how this helps us fight #CoronaVirus 🤔,0.0
35,35,certifiedjustic,37,2020-03-24 12:25:22,"#coronavirus #COVID19NIGERIA  
#PreventCOVID19Spread #COVID_19UNNCampaign
It is trying times, cemeteries overwhelme…",0.0
36,36,AU_kent747,230,2020-03-24 12:25:22,JohanKarlssonSE JeffreyGuterman realDonaldTrump awww really? vox claimed #chinese #coronavirus is NOT going to b…,0.0
