username,followers,created_at,tweet_text
anikk09,32,2020-03-24 12:52:16,"Who will save this nation ??
They do not want to save themselves.😭#BD #CoronavirusLockdown  #COVID2019 #LockdownNow… https://t.co/wxGOkag1gU"
GarimaM1204,388,2020-03-24 12:52:11,"@AnujGurwara 1. Cleaning &amp; cooking
2. Finishing assignments while keeping an eye on the child (lest she breaks the… https://t.co/RF9dTnBJKN"
vereling,9,2020-03-24 12:52:10,"Designed by me.
#StayHome #COVID2019 https://t.co/ssRW7IHH46"
BPCLJaipur,1083,2020-03-24 12:52:08,"During these difficult times, we are ensuring that our services remain unaffected. At the same time, we are taking… https://t.co/oJoHvIOFlU"
trackingcorona,1842,2020-03-24 12:52:06,"BREAKING: Japan has decided to postpone Olympic Games 2021, due to spread of #coronavirus.

#Covid19japan… https://t.co/yeoC2l01wp"
TragedyAnnn,589,2020-03-24 12:52:05,Kentucky deeming liquor stores as essential businesses is the most Kentucky thing ever.  #essentialservices #COVID2019
TharaMolligoda,75,2020-03-24 12:52:03,@AsaadHannaa Oh dear! While the #COVID2019 is still grasping at straws we’ve another one on the queue?? The #Hantavirus is not a new though.
theanswer_WONHO,24,2020-03-24 12:52:03,Can someone please adress this! shifts have 300+ staff per shift that are at risk of spreading this virus because c… https://t.co/tdsIOt6uOr
rtehrani,25565,2020-03-24 12:51:59,"Doctors and nurses ""scared to come to work"" to treat coronavirus patients because of supply shortages… https://t.co/TvRk9jPk4M"
ChildfreeGirls,453,2020-03-24 12:51:58,"In celebration of our new podcast and in an effort to offer some mental relief from #COVID2019, we’re offering some… https://t.co/GHMFurfAVD"
DavyAntebi,400,2020-03-24 12:51:57,"Six ways #Israel is managing the #corona crisis!

#Coronavid19 #COVID2019 #coronoavirusoutbreak 

https://t.co/U1nzGkhbRs"
Souidos,9995,2020-03-24 12:51:55,"People get creative and political during the largest biopolitical experiment of modern times...

#COVID2019 https://t.co/zc90ZadHL6"
rtehrani,25565,2020-03-24 12:51:52,‘There’s a lot we don’t know’: UW researchers look at how coronavirus turns body against itself and kills… https://t.co/41mVtP0CGP
vishavjeetsin,4,2020-03-24 12:51:51,"A simple message to china.
#Hantavirus #corona #ChinaLiedPeopleDied #ChineseVirus #China #COVIDIDIOTS #COVID2019… https://t.co/Wja1MxgXlH"
iMisred,119193,2020-03-24 12:51:48,"For the mental health of many people, Retweet and share! Make sure you wash your hands after or before Retweeting!… https://t.co/qP82pjf42K"
MrLee_MUFC_20,2604,2020-03-24 12:51:46,"Before I was really loving the idea of working from home and all but, after the little simulation we had in the off… https://t.co/ptq1VF3cLT"
canelo8,17,2020-03-24 12:51:44,Oh Donny. @realDonaldTrump @POTUS #COVIDActNow #SocialDistancing #COVID2019 #CoronaVirusUpdate #StayHome #COVID https://t.co/e2874LnFRb
rtehrani,25565,2020-03-24 12:51:41,"Three-pronged distancing most effective at controlling COVID-19 - study https://t.co/YGjxrzieJI

#CoronaVirus… https://t.co/AW6JHgBtJp"
ViviLin60097519,0,2020-03-24 12:51:41,"Coronavirus: How a misleading map went global

https://t.co/ANoTsopTok 

#COVID19 #China #COVID2019 #Wuhan… https://t.co/uON043aGZr"
1Fiery_Sapphire,3900,2020-03-24 12:51:39,"#MAGA #KAG #COVIDActNow #SocialDistancing #CoronaVirusUpdate #COVID2019 #COVID #Trump #Trump2020 
👇THIS IS A MUST S… https://t.co/mZvzPevWFM"
VaidMuzamil61,16,2020-03-24 12:51:39,"Escaping quarantine, Literates are roaming outside better for educated to remain inside.
#COVID2019 #BreakTheChain"
KanzaImtiaz,4,2020-03-24 12:51:38,"While we're dealing with the restrictions due to #COVID2019, let’s remember how fortunate we're to live a considera… https://t.co/yvGvP8G5NR"
SukhvinderKS,523,2020-03-24 12:51:37,Reassuring for all the self-employed out there- gov support expected #COVID2019 https://t.co/FGXXR2h9g2
muneebalkhalid,190,2020-03-24 12:51:36,"#COVID2019 This guy,  known as PMIK always used to compare us with other nations,  and today my takeaway from his c… https://t.co/rvPY0lREVT"
KautilyaKalyan,35,2020-03-24 12:51:35,"@DelhiPolice 
@LtGovDelhi 
@CPDelhi 

#LockdownQuery #StayAtHomeSaveLives 
#COVID2019 
Sir all the stores like kira… https://t.co/LQNcyG7wd8"
rtehrani,25565,2020-03-24 12:51:35,"Bezos, Other Corporate Executives Sold Shares Just in Time https://t.co/D1AR41wTVG

#CoronaVirus… https://t.co/PVqr7DPQC8"
rghising,6181,2020-03-24 12:51:28,"The organisers of the Tokyo 2020 Olympic Games, due to begin on 24 July, have agreed to a one-year postponement of… https://t.co/4iOYX0rSbQ"
curious_kyle1,3711,2020-03-24 12:51:27,Don't break the #CircleOfTrust! #COVID2019 #StayHome #RobertDeNiro https://t.co/2uVENZdNYG
omairanas,1449,2020-03-24 12:51:27,"@BDUTT @Rezhasan @AmitShah No Barkha 
First, Dalits 
Then Muslims 
Then North Easterns 
Then Biharis 
Then Bengalis… https://t.co/j6ztq5XKFa"
matsikogodwin,3556,2020-03-24 12:51:26,"As some keep opposing liberalisation of the sector, workers continue to suffer despite forced savings! @nssfug this… https://t.co/H4z0HZl1E4"
saadabbasi415,221,2020-03-24 12:51:26,"Tokyo Olympics moved to 2021.
#CoronaVirusUpdate #COVID2019"
rtehrani,25565,2020-03-24 12:51:22,Amazon is using coronavirus to expand its power – and not for the greater good | Julia Carrie Wong… https://t.co/JX2RErj7Ht
KCL_Right_Now,895,2020-03-24 12:51:17,Incredible work we are doing with @UVA_BI to help navigate this new reality with #COVID2019 #seebeyondriseabove https://t.co/29mpj00C3F
rishidarda,4705,2020-03-24 12:51:11,"Hon @PMOIndia stated that through newspapers, information details on availability of essential commodities must be… https://t.co/sIJOcUiIhJ"
PronoyKrSaikia,251,2020-03-24 12:51:09,"Can @CMOMaharashtra put a relief on the rent for the month of March as many #artists, #freelancers, #musicartist we… https://t.co/2eJOuwBulU"
a_fumiko,189,2020-03-24 12:51:04,It's time for civil disobedience to show the rich what we want. #balancethepower #COVIDActNow #COVID2019 @usa
JThorbj,205,2020-03-24 12:51:03,Nice weather in #Denmark for a afternoon run. Remember to keep the distance #COVID2019
nawab_lucknow,894,2020-03-24 12:51:03,"1st milestone reached!
Just at ₹800/$11 USD / test

Lets go for Vaccine now

India can do it!🇮🇳🇮🇳🇮🇳 #COVID2019 https://t.co/950idOmn4q"
