,Unnamed: 0,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,Stance - Scrapping of Article 370,tone
0,41819,1158630290316644352,1158630290316644352,1565073962000,2019-08-05,23:46:02,PDT,2502501940.0,aewwhems,Hemendra Singh Mewar,,"Being Inspired from RaGa,  Manish Tiwari of INCIndia just quoted FiftyShadesOfGrey as an explanation of his position on Article370 !  IndiaForKashmir KashmirIntegrated",['incindia'],[],[],0,1,2,"['#fiftyshadesofgrey', '#article370', '#indiaforkashmir', '#kashmirintegrated']",[],https://twitter.com/Aewwhems/status/1158630290316644352,False,,0,Favor,"{'tones': [{'score': 0.800169, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.573521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
1,32043,1158776372455591937,1158776372455591937,1565108790000,2019-08-06,9:26:30,PDT,17830429.0,sakaltimes,Sakal Times,,Home Minister AmitShah said that India will continue to claim the territories of JammuAndKashmir under the occupation of Pakistan and ruled out any talks with separatist amalgam Hurriyat Conference. Article370Scrapped 370Article Article370 LokSabha http://www.sakaltimes.com/nation/parliament-nod-removing-art-370-provisions-splitting-jk-2-uts-38900 …,['amitshah'],['http://www.sakaltimes.com/nation/parliament-nod-removing-art-370-provisions-splitting-jk-2-uts-38900'],[],0,0,3,"['#jammuandkashmir', '#article370scrapped', '#370article', '#article370', '#loksabha']",[],https://twitter.com/sakaltimes/status/1158776372455591937,False,,0,Favor,"{'tones': [{'score': 0.779803, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
2,40828,1158639947697594369,1158639947697594369,1565076264000,2019-08-06,0:24:24,PDT,439953529.0,naturepanezai,Qudrat,,"1- Two recent developments pushed India to act on Article370 - President Trump’s offer to mediate the Kashmir dispute.  - Afghanistan peace process, facilitated to an extent by Islamabad, which could lead to a political settlement in Afghanistan.   KashmirUnderThreat",[],[],[],2,1,4,"['#india', '#article370', '#trump', '#kashmir', '#islamabad', '#afghanistan', '#kashmirunderthreat']",[],https://twitter.com/naturepanezai/status/1158639947697594369,False,,0,Against,"{'tones': [{'score': 0.500097, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.742727, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
3,4833,1162208651571916800,1162032644961402880,1565927109000,2019-08-15,20:45:09,PDT,43280568.0,iamadvrizvi,WMR,,"What a logic? Allah willed destruction of Babri Masjid, rise and rise of Hindutva, repel of Article370 just to name a few. How moronic Muslim can go? Alas pic.twitter.com/NKtDFSRwJU","['parveenkader', 'manavjivan']",[],['https://pbs.twimg.com/media/ECD-mUBUcAAtLwe.jpg'],1,0,0,"['#article370', '#muslim']",[],https://twitter.com/IamAdvRizvi/status/1162208651571916800,False,,0,Favor,"{'tones': [{'score': 0.523607, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.780427, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.789226, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
4,7932,1161322436370952192,1161322436370952192,1565715819000,2019-08-13,10:03:39,PDT,1512304602.0,whitecoat_no_48,Mukul Kumar,,Here India is sending space missions to moon and Pakistan Science and Technology Minister is busy telling people how to find Moon on a mobile app  Aur ye hume dhamka rahe hai kashmir pe 🤣🤣 KashmirIsOurWeAreKashmir Article370 majorgauravarya ShivAroor SushantBSinha pic.twitter.com/r0x75lqT5x,"['majorgauravarya', 'shivaroor', 'sushantbsinha']",[],['https://pbs.twimg.com/media/EB3Yl3hUEAAIKju.jpg'],0,0,0,"['#kashmirisourwearekashmir', '#article370']",[],https://twitter.com/WhiteCoat_no_48/status/1161322436370952192,False,,0,Neutral ,"{'tones': [{'score': 0.537029, 'tone_id': 'joy', 'tone_name': 'Joy'}]}"
5,45220,1158573985505763328,1158573985505763328,1565060538000,2019-08-05,20:02:18,PDT,19897138.0,indiatoday,India Today,,The United Nations has urged India and Pakistan to maintain peace in the wake of Modi-led government scrapping Article370.  https://www.indiatoday.in/world/story/article-370-kashmir-united-nations-india-pakistan-1577661-2019-08-06 …,[],['https://www.indiatoday.in/world/story/article-370-kashmir-united-nations-india-pakistan-1577661-2019-08-06'],[],13,10,71,['#article370'],[],https://twitter.com/IndiaToday/status/1158573985505763328,False,,0,Neutral ,{'tones': []}
6,21936,1159391073195528192,1159391073195528192,1565255346000,2019-08-08,2:09:06,PDT,3263114580.0,ashutosh5897_v,Ujjwal Thakur,,"Dear ""Ghulam Nabi Azad"",Article370  has been scrapped by the Government. Bill has been passed with more ""Ayes"". People are supporting this decision of the Home Minister. So all you can do is just Crying and Screaming. And all we can do is just feel pity on you. Jai Hind..!! ",[],[],[],0,2,5,['#article370'],[],https://twitter.com/ashutosh5897_v/status/1159391073195528192,False,,0,Favor,"{'tones': [{'score': 0.713622, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}"
7,22724,1159355731360960513,1159095226071486471,1565246920000,2019-08-07,23:48:40,PDT,7.687632916571177e+17,torchbearer21c,HaveanAgenda,,please stop using water coming from India too ( indus river )  KashmirWelcomesChange Article370,"['pid_gov', 'imrankhanpti', 'smqureshipti', 'dr_firdouspti', 'fawadchaudhry', 'muradsaeedpti', 'ali_muhammadpti', 'aliaminkhanpti', 'lodhimaleeha', 'pervezkhattakpk']",[],[],0,0,0,"['#kashmirwelcomeschange', '#article370']",[],https://twitter.com/Torchbearer21C/status/1159355731360960513,False,,0,??,"{'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
8,15224,1160058827217051648,1160058827217051648,1565414551000,2019-08-09,22:22:31,PDT,101430084.0,vickoo1976,THE BONE DOCTOR,,"Prime Minister narendramodi ji by scrapping Article370 has called the biggest bluff of likes of BDUTT of so called ""Kashmiri Mainstream"" .Prime Minster has given unequivocal message: Either you are with India or you are not. Choose your side . No more blackmailing now onwards! https://twitter.com/BDUTT/status/1160051465924124673 …","['narendramodi', 'bdutt']",['https://twitter.com/BDUTT/status/1160051465924124673'],[],2,1,11,['#article370'],[],https://twitter.com/vickoo1976/status/1160058827217051648,False,https://twitter.com/BDUTT/status/1160051465924124673,0,Against,"{'tones': [{'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
9,7534,1161488972448784386,1161488261715562497,1565755525000,2019-08-13,21:05:25,PDT,112955061.0,shishank2312,Shishank,,"Hope you don't get detained too... Zara sambhal ke, yeh naya Hindustan hai...  Article370",['bdutt'],[],[],2,0,13,['#article370'],[],https://twitter.com/Shishank2312/status/1161488972448784386,False,,0,Favor,"{'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
10,29999,1158892005340008448,1158892005340008448,1565136359000,2019-08-06,17:05:59,PDT,7.028280352260833e+17,dhananjay_hind,Dhananjay Pandey,,What a powerful speech given by MPLadakh! Full of passion & conviction. People of Laddakh have chosen right person as their MP. They should be really proud of him. Article370 Article370Scrapped JamyangTseringNamgyal https://youtu.be/BQGhbm7ygkY,['mpladakh'],['https://youtu.be/BQGhbm7ygkY'],[],0,1,1,"['#article370', '#article370scrapped', '#jamyangtseringnamgyal']",[],https://twitter.com/dhananjay_hind/status/1158892005340008448,False,,0,Against,"{'tones': [{'score': 0.826253, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874814, 'tone_id': 'confident', 'tone_name': 'Confident'}]}"
11,21821,1159396368470831104,1159117736213012480,1565256609000,2019-08-08,2:30:09,PDT,2288047490.0,drsudeshna246,Dr Sudeshna,,Her cencern on economy may be genuine. But whats the link between Article370 & economy slow down  Wont it be shocking if nationalists like her start saying..... Pulwama hua to hua....economy pe concentrate karte he..  Kashmir gaya to gaya....economy pe concentrate karte he,"['onlyonenetra', 'akkiiboy', 'renukajain6']",[],[],0,0,3,"['#article370', '#pulwama', '#kashmir']",[],https://twitter.com/drsudeshna246/status/1159396368470831104,False,,0,Neutral ,"{'tones': [{'score': 0.547, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.829888, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
12,12732,1160468555453747200,1160468555453747200,1565512238000,2019-08-11,1:30:38,PDT,1.0127470924759409e+18,mynation,MyNation,,Superstar rajinikanth lauded home minister AmitShah and PM tajmahalfoxtrot for scrapping Article370  https://www.mynation.com/politics/article-370-rajinikanth-hails-pm-modi-amit-shah-lord-krishna-arjuna-pw2cjb …,"['rajinikanth', 'amitshah', 'tajmahalfoxtrot']",['https://www.mynation.com/politics/article-370-rajinikanth-hails-pm-modi-amit-shah-lord-krishna-arjuna-pw2cjb'],[],1,3,24,['#article370'],[],https://twitter.com/MyNation/status/1160468555453747200,False,,0,Against,{'tones': []}
13,37657,1158689637659041792,1158635699186225153,1565088111000,2019-08-06,3:41:51,PDT,9.97682457561436e+17,dindrajeetd,Indrajeet Dixit,,Kya baat boli hai if elections are held today Congress congress will win 300+ seats   In Pakistan  ShameOnCongress Article370 Kashmir,['rahulgandhi'],[],[],0,1,2,"['#shameoncongress', '#article370', '#kashmir']",[],https://twitter.com/DIndrajeetD/status/1158689637659041792,False,,0,Against,"{'tones': [{'score': 0.510096, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}"
14,43067,1158611363616317441,1158460300225470464,1565069449000,2019-08-05,22:30:49,PDT,2433874326.0,bdash88,अहं ब्रह्मास्मि,,That's democracy. The number of votes that man got in 2019 Lok Sabha elections is the highest in the history of the world. He got a thumping majority. 100 out of 100 of his voters support his decision on Article370 . What the hell can you do except screaming?,[],[],[],0,0,2,['#article370'],[],https://twitter.com/BDash88/status/1158611363616317441,False,,0,??,"{'tones': [{'score': 0.565847, 'tone_id': 'anger', 'tone_name': 'Anger'}]}"
15,18065,1159713448126832640,1159713448126832640,1565332207000,2019-08-08,23:30:07,PDT,1.0732835515656314e+18,logicallyin,Logically India,,LogicallySummaries Kashmir is like a concentration camp: Congress leader Adhir Ranjan Chowdhury. Article370  pic.twitter.com/D2wjQ3AaDC,[],[],['https://pbs.twimg.com/media/EBghPDlX4AAabOn.jpg'],0,0,0,"['#logicallysummaries', '#kashmir', '#article370']",[],https://twitter.com/LogicallyIN/status/1159713448126832640,False,,0,Against,"{'tones': [{'score': 0.936402, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.770435, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
16,7239,1161559959210848256,1161559959210848256,1565772449000,2019-08-14,1:47:29,PDT,19519947.0,deccanchronicle,Deccan Chronicle,,The Indian team is scheduled to travel to Pakistan for the first time in 55 years to participate in the DavisCup Asia-Oceania Group-1 tie.  DCSports Article370  https://www.deccanchronicle.com/sports/tennis/140819/all-india-tennis-association-wants-davis-cup-venue-to-be-shifted-from.html …,[],['https://www.deccanchronicle.com/sports/tennis/140819/all-india-tennis-association-wants-davis-cup-venue-to-be-shifted-from.html'],[],0,0,0,"['#pakistan', '#daviscup', '#dcsports', '#article370']",[],https://twitter.com/DeccanChronicle/status/1161559959210848256,False,,0,Favor,"{'tones': [{'score': 0.505122, 'tone_id': 'joy', 'tone_name': 'Joy'}]}"
17,25580,1159131178823274497,1159129251209068545,1565193383000,2019-08-07,8:56:23,PDT,8.709139381409628e+17,braden_ns,Naeem Iftikhar,,India  Should think first before the Scrapping of Article370. Now .... very soon you will find the result. StandwithKashmir KashmirMeriJaan,"['indiatoday', 'sardesairajdeep']",[],[],0,0,0,"['#india', '#article370', '#standwithkashmir', '#kashmirmerijaan']",[],https://twitter.com/braden_ns/status/1159131178823274497,False,,0,Against,"{'tones': [{'score': 0.946272, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.937689, 'tone_id': 'confident', 'tone_name': 'Confident'}]}"
18,25646,1159127881299234817,1159127218104283136,1565192597000,2019-08-07,8:43:17,PDT,8.500378160210739e+17,haidarbhaijaano,Wildling Fire Chief,,"17-Year-Old Boy Dead, 13 Pellet Injuries: Kashmir’s First Casualties After Revocation of Article370 HuffPostIndia KashmirMeriJaan https://www.huffingtonpost.in/entry/kashmir-first-civilian-casualty-after-article-370-revoked_in_5d4ab624e4b0066eb70aaca3 …",['huffpostindia'],['https://www.huffingtonpost.in/entry/kashmir-first-civilian-casualty-after-article-370-revoked_in_5d4ab624e4b0066eb70aaca3'],[],1,1,0,"['#kashmir', '#article370', '#kashmirmerijaan']",[],https://twitter.com/HaidarBhaiJaano/status/1159127881299234817,False,,0,Against,"{'tones': [{'score': 0.624133, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}"
19,25112,1159152663667367938,1159152663667367938,1565198505000,2019-08-07,10:21:45,PDT,2483728046.0,shakiransari123,Shakir Ansari,,Article370 changed to occupy land of Kashmiris and end Kashmiriat! Now you will go beyond to change Article371 !! People and Democracy shall demolish!!! https://twitter.com/HC_meenaMP/status/1158974579043270657 …,[],['https://twitter.com/HC_meenaMP/status/1158974579043270657'],[],0,0,0,"['#article370', '#kashmiris', '#kashmiriat', '#article371']",[],https://twitter.com/ShakirAnsari123/status/1159152663667367938,False,https://twitter.com/HC_meenaMP/status/1158974579043270657,0,Against,{'tones': []}
20,37152,1158698049578786816,1158635699186225153,1565090117000,2019-08-06,4:15:17,PDT,2894573238.0,rohithsharma041,Rohith,,If Twitter had dislike button and we Indians would have made this most disliked tweet 🤣 and illogical as well Article370 Article370 Article370Scrapped ShamelessCongress,['rahulgandhi'],[],[],0,0,1,"['#article370', '#article370', '#article370scrapped', '#shamelesscongress']",[],https://twitter.com/rohithsharma041/status/1158698049578786816,False,,0,Against,"{'tones': [{'score': 0.830561, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
21,23204,1159335193179590656,1159335193179590656,1565242024000,2019-08-07,22:27:04,PDT,9.666468316806922e+17,chandrahasrane,Chandrahas Rane,,narendramodi AmitShah Congratulations sir on major achievements TripleTalaq & Article370. Need your immediate attention to the people of goamining now.  We are still stuffy and are waiting for restartgoamining after your last meeting on the issue.  DrPramodPSawant,"['narendramodi', 'amitshah', 'drpramodpsawant']",[],[],1,5,3,"['#tripletalaq', '#article370', '#goamining', '#restartgoamining']",[],https://twitter.com/ChandrahasRane/status/1159335193179590656,False,,0,Favor,"{'tones': [{'score': 0.643758, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
22,23663,1159312175745232896,1159312175745232896,1565236536000,2019-08-07,20:55:36,PDT,34206701.0,news24tvchannel,News24 India,,‘Can’t accept more friend requests’: BJP MP Tsering Namgyal after Article370 speech    https://news24online.com/news/cant-accept-more-friend-requests-bjp-mp-tsering-namgyal-after-article-370-speech-b65b4d11 …,[],['https://news24online.com/news/cant-accept-more-friend-requests-bjp-mp-tsering-namgyal-after-article-370-speech-b65b4d11'],[],0,0,10,['#article370'],[],https://twitter.com/news24tvchannel/status/1159312175745232896,False,,0,??,"{'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
23,29797,1158923361268817920,1158923361268817920,1565143835000,2019-08-06,19:10:35,PDT,163742316.0,madhusudan41,Madhusudan Thakkar,,Pulwama-like attacks can happen after Article370  revocation: Imran Khan  - Kashmir Times  http://www.kashmirtimes.com/newsdet.aspx?q=93424 …,[],['http://www.kashmirtimes.com/newsdet.aspx?q=93424#'],[],0,2,2,"['#pulwama', '#article370']",[],https://twitter.com/madhusudan41/status/1158923361268817920,False,,0,Against,"{'tones': [{'score': 0.535535, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}"
24,38558,1158676295842066432,1158676295842066432,1565084930000,2019-08-06,2:48:50,PDT,1.108618867117453e+18,ruhinasultan,Ruhina Sultan,,"TripleTalaqBill and Now Article370  Honorable PMOIndia and AmitShah Thank you for this  Great decision!  Proud moment for all of us!  Kashmir WAS, IS and FOREVER WILL remain an integral part of mother India! ProudlyIndian  KashmirMeinTiranga Kashmir JaiHind pic.twitter.com/jGLXIycCNz","['pmoindia', 'amitshah']",[],['https://pbs.twimg.com/media/EBRx8msU4AAzulK.jpg'],0,1,5,"['#tripletalaqbill', '#article370', '#proudlyindian', '#kashmirmeintiranga', '#kashmir', '#jaihind']",[],https://twitter.com/RuhinaSultan/status/1158676295842066432,False,,0,Favor,"{'tones': [{'score': 0.843398, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92999, 'tone_id': 'confident', 'tone_name': 'Confident'}]}"
25,45267,1158572864951336961,1158572864951336961,1565060270000,2019-08-05,19:57:50,PDT,523309370.0,shamimzakaria,Shamim Zakaria,,This enforced stillness in JammuAndKashmir is an indication of the disastrous storm that is soon to follow. As BJP's Hina Bhat said in 2014 'people will pick up guns if Article370 scrapped.' Indeed it will push the youths to wantonly take the path of militancy Kashmir https://twitter.com/ndtv/status/1158570344048807936 …,[],['https://twitter.com/ndtv/status/1158570344048807936'],[],0,0,0,"['#jammuandkashmir', '#article370', '#kashmir']",[],https://twitter.com/shamimzakaria/status/1158572864951336961,False,https://twitter.com/ndtv/status/1158570344048807936,0,Against,"{'tones': [{'score': 0.803844, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.904127, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
26,11307,1160677166624849920,1160603618598244353,1565561975000,2019-08-11,15:19:35,PDT,3248712157.0,abhishek_swarup,Abhishek Swarup,,"Who stopped him to start trading business before? Even when Article370 was effective, people from rest of the India were allowed to do business and get properties on lease.",['mrsgandhi'],[],[],0,0,0,['#article370'],[],https://twitter.com/abhishek_swarup/status/1160677166624849920,False,,0,Favor,"{'tones': [{'score': 0.878039, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.817737, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
27,18608,1159678500682342400,1158674503037333504,1565323875000,2019-08-08,21:11:15,PDT,3033995850.0,bhavygshah,Bhavy Shah,,"You guys came india by saying we are artist begging work here. And now suddenly patriotism came and give political statement. You bastard check your country first where no job, no money, and what not. I'm sure government of india has to terminte your visa. Article370",['itsaadee'],[],[],0,0,0,['#article370'],[],https://twitter.com/Bhavygshah/status/1159678500682342400,False,,0,Favor,"{'tones': [{'score': 0.503677, 'tone_id': 'anger', 'tone_name': 'Anger'}]}"
28,22696,1159356977358594048,1159356977358594048,1565247217000,2019-08-07,23:53:37,PDT,371705437.0,parulchandrap,Parul Chandra,,MEAIndia on Pak downgrading bilateral relations: “The intention behind these measures is obviously to present an alarming picture to the world of our bilateral ties.  The reasons cited by Pakistan are not supported by facts on the ground.” IndiaPak Kashmir Article370,['meaindia'],[],[],1,5,3,"['#indiapak', '#kashmir', '#article370']",[],https://twitter.com/ParulChandraP/status/1159356977358594048,False,,0,Against,"{'tones': [{'score': 0.921619, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.92999, 'tone_id': 'confident', 'tone_name': 'Confident'}]}"
29,5792,1161875912780128256,1161875912780128256,1565847778000,2019-08-14,22:42:58,PDT,7.843416793733651e+17,mzaigh97,Muhammad Zaigham,,"Whenever you snatch someone's freedom, you have to pay for it. We support Kashmir and its sovereignty. Whole Muslim Ummah condemns such genocide. BlackDay Article370 15AugustBlackDay",[],[],[],0,0,1,"['#blackday', '#article370', '#15augustblackday']",[],https://twitter.com/mzaigh97/status/1161875912780128256,False,,0,Against,{'tones': []}
